" "," ",module,Magento_ImportExport
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">Bekijk onze installatiehandleiding</a> voor stapsgewijze instructies voor het integreren van Signifyd met Magento.<br />Voor ondersteuningscontact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.",module,Magento_Signifyd
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>",theme,frontend/Magento/luma
"<a href=%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>""","<a href=%1"" onclick=""this.target='_blank'"" class=""print"">Print ontvangstbewijs</a>""",module,Magento_Checkout
"<a href=%1"">Learn more</a>.""","<a href=%1"">Leer meer</a>.""",module,Magento_Cookie
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Belangrijk</b>: Indien u ""Gebruik automatische generatie"" heeft aangevinkt, deze regel zal niet langer gebruikt worden in automatische email herinneringen voor verlaten winkelkarren",module,Magento_Reminder
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Pagina niet gevonden.</p>",module,Magento_Backend
"<label class=label""><span>from</span></label>""","<label class=label""><span>van</span></label>""",module,Magento_Catalog
"<label class=label><span>to</span></label>","<label class=label><span>voor</span></label>",module,Magento_Catalog
"<pre> %1 </pre>","<pre> %1 </pre>",module,Magento_Email
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>",module,Magento_Email
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order datum:</span> %1",module,Magento_Sales
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(en) vereisen aandacht.</span>",module,Magento_AdvancedCheckout
"<span>Item %1</span> of %2","<span>Item %1</span> van %2",module,Magento_GiftMessage
"<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously.","<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously.",module,Magento_Theme
"<strong class=""colorRed"">Warning!</strong> Enabling MAP by default will hide all product prices on Storefront.","<strong class=""colorRed"">Warning!</strong> Enabling MAP by default will hide all product prices on Storefront.",module,Magento_Msrp
"<strong class=""colorRed"">Warning!</strong> Enabling this feature is not recommended on production environments because it represents a potential security risk.","<strong class=""colorRed"">Waarschuwing!</strong> Het activeren van deze functionaliteit wordt niet aanbevolen in productieomgevingen omdat het mogelijk een beveiligingsrisico vormt.",module,Magento_Backend
"<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them.","<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them.",module,Magento_CatalogUrlRewrite
"<strong class=""colorRed"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third-party services (e.g. PayPal etc.).","<strong class=""colorRed"">Waarschuwing!</strong> Indien u een winkelcode in URLs gebruikt kan in sommige gevallen het systeem problemen ondervinden wanneer er URL's zonder winkelcodes voorkomen in diensten van derden (bv. Paypal etc.).",module,Magento_Backend
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.",module,Magento_Cookie
"<strong class=""warning-enable-permissions"">Warning!</strong> By default this feature restricts all categories.","<strong class=""warning-enable-permissions"">Warning!</strong> By default this feature restricts all categories.",module,Magento_CatalogPermissions
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> werd gevonden met de volgende zoekcriteria",module,Magento_CatalogSearch
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> werden gevonden met de volgende zoekcriteria",module,Magento_CatalogSearch
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Let op</strong>: Captcha is hoofdlettergevoelig.",module,Magento_Captcha
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>meer inzicht krijgen van Magento Business Intelligence</strong>",module,Magento_Analytics
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again.",module,Magento_Eav
"A PDF object is not specified.","Een PDF object is niet gespecificeerd.",module,Magento_Sales
"A PDF page object is not specified.","Een PDF pagina object is niet gespecificeerd.",module,Magento_Sales
"A balance is needed to save a balance history.","A balance is needed to save a balance history.",module,Magento_CustomerBalance
"A block identifier with the same properties already exists in the selected store.","Een blok identifier met dezelfde eigenschappen bestaat al in de geselecteerde store.",module,Magento_Cms
"A case that has been resolved and close requires a reimbursement.","Een zaak die is opgelost en gesloten vraagt om een terugbetaling.",module,Magento_Paypal
"A catalog named %catalogName already exists. Please select a different name.","Er bestaat al een catalogus met de naam %catalogName. Selecteer een andere naam.",module,Magento_SharedCatalog
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.",module,Magento_CheckoutAgreements
"A class with the same name already exists for ClassType %1.","Een klasse met dezelfde naam bestaat al voor ClassType %1.",module,Magento_Tax
"A company has invited you to join","A company has invited you to join",module,Magento_Company
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","Een bedrijfsregistratie aanvraag is ingediend door klant %customer. Het account is tijdelijk vergrendeld totdat u dit bedrijf goedkeurt of afwijst.",module,Magento_Company
"A configuration with this path does not exist or is not sensitive","Een configuratie met dit pad bestaat niet of is niet gevoelig",module,Magento_Deploy
"A confirmation request has been sent.","Een bevestigingsmail is verstuurd.",module,Magento_Newsletter
"A consumer having the specified key does not exist","Een consument met de specifieke key bestaat niet",module,Magento_Integration
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.",module,Magento_Integration
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.",module,Magento_Integration
"A consumer with ID %1 does not exist","Een consument met ID %1 bestaat niet",module,Magento_Integration
"A consumer with the ID %1 does not exist","Een consument met ID %1 bestaat niet",module,Magento_Integration
"A coupon is already applied to the cart. Please remove it to apply another","Een coupon is al toegepast op de winkelwagen. Verwijder deze om een andere toe te passen",module,Magento_QuoteGraphQl
"A creditmemo can not be created when an order has a status of %1","Er kan geen creditfactuur worden aangemaakt als order de status %1 heeft",module,Magento_Sales
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again.",module,Magento_Invitation
"A customer group with this name already exists. Enter a different name to create a shared catalog.","Er bestaat al een klantengroep met deze naam. Voer een andere naam in om een gedeelde catalogus te maken.",module,Magento_SharedCatalog
"A customer website ID must be specified when using the website scope.","Een klant website ID moet gespecificeerd worden wanneer de website scope wordt gebruikt.",module,Magento_Customer
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope.",module,Magento_Customer
"A customer with the same email address already exists in an associated website.","Een klant met hetzelfde e-mailadres bestaat al in een bijbehorende website.",module,Magento_CustomerGraphQl
"A customer with the same email already assigned to company.","Een klant met hetzelfde e-mailadres is al gekoppeld aan een bedrijf.",module,Magento_Company
"A customer with the same email already exists in an associated website.","Een klant met dezelfde e-mail bestaat al in een geassocieerde website.",module,Magento_Customer
"A fieldset with the same code already exists.","A fieldset with the same code already exists.",module,Magento_CustomerCustomAttributes
"A group with the same name already exists.","Een groep met dezelfde naam bestaat al.",module,Magento_Catalog
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Een gegroepeerd product is samengesteld uit meerdere, zelfstandige producten die worden gepresenteerd als een groep. U kunt bieden variaties van één product of groeperen door seizoen of thema om een gecoördineerde verzameling te maken. Elk product kan worden gekocht, afzonderlijk of als onderdeel van de groep.",module,Magento_GroupedProduct
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again.",module,Magento_Eav
"A hold action is not available.","Een hold actie is niet beschikbaar.",module,Magento_Sales
"A joined field with this alias is already declared.","Een samengevoegd veld met deze alias is al gedeclareerd.",module,Magento_Eav
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared.",module,Magento_Eav
"A joint field with this alias (%1) is already declared.","Een gezamenlijk veld met deze alias (%1) is al gedeclareerd.",module,Magento_Eav
"A letter with further instructions will be sent to your email.","Een bericht met verdere instructies zal worden verzonden naar uw e-mailadres.",module,Magento_Checkout
"A login and a password are required.","Een log-in en wachtwoord zijn vereist.",module,Magento_Customer
"A match of the Shipping Address City, State, and Postal Code failed.","Een match van de velden Plaats, Staat en Postcode van het Verzendadres is mislukt.",module,Magento_Paypal
"A name is required.","Een naam is vereist.",module,Magento_Catalog
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email.",module,Magento_User
"A payer is not identified.","Er is geen betaler geidentificeerd.",module,Magento_Paypal
"A payment method is not defined.","Een betaalmethode is niet gedefinieerd.",module,Magento_Multishipping
"A payment method isn't defined for instance purchase. Verify and try again.","Er is geen betaalmethode gedefinieerd voor directe aankoop. Controleer en probeer het opnieuw.",module,Magento_InstantPurchase
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again.",module,Magento_Multishipping
"A positive or negative non-decimal number please","Graag een positief of negatief getal zonder decimalen",module,Magento_Ui
"A product type is not defined for the indexer.","Een product type is niet gedefinieerd voor de indexer.",module,Magento_Catalog
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","Er bestaat al een openbare gedeelde catalogus. Als u doorgaat, wordt de bestaande openbare gedeelde catalogus geconverteerd naar een aangepaste catalogus. Alle bedrijven die zijn gedefinieerd in de bestaande openbare gedeelde catalogus, worden toegewezen aan de nieuwe openbare gedeelde catalogus.",module,Magento_SharedCatalog
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","Er bestaat al een openbare gedeelde catalogus. Als u doorgaat, wordt de bestaande openbare gedeelde catalogus geconverteerd naar een aangepaste catalogus. Alle bedrijven die zijn gedefinieerd in de bestaande openbare gedeelde catalogus, worden opnieuw toegewezen aan de nieuwe openbare gedeelde catalogus.",module,Magento_SharedCatalog
"A quantity of %1 is greater than you can return.","Het aantal van %1 is hoger dan wat u terug kunt sturen.",module,Magento_Rma
"A quantity you're trying to add exceeds the number of products we shipped.","Een hoeveelheid die u probeert toe te voegen is groter dan het aantal producten die we verzonden.",module,Magento_Rma
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Op bestelling #%order_id is een restitutie van %refunded_amount uitgekeerd. Dit bedrag is toegepast op het bedrijfskrediet.",module,Magento_CompanyCredit
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Een omzetting heeft plaatsgevonden op deze transactie vanwege een klantgeschil vermoedend onbevoegde adresvervalsing.",module,Magento_Paypal
"A reversal has occurred on this transaction because you have given the customer a refund.","Een omzetting heeft plaatsgevonden op deze transactie omdat je de klant een terugbetaling hebt gedaan.",module,Magento_Paypal
"A reversal has occurred on this transaction due to a chargeback by your customer.","Een omzetting heeft plaatsgevonden op deze transactie vanwege een terugboeking van jouw klant.",module,Magento_Paypal
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Een omzetting heeft plaatsgevonden op deze transactie als gevolg van een klacht van jouw klant over de transactie.",module,Magento_Paypal
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Een omzetting heeft plaatsgevonden op deze transactie omdat jouw klant een geld-terug-garantie heeft getriggerd.",module,Magento_Paypal
"A row with this email, website, and finance website combination already exists.","Een rij met deze e-mail, website en financiën website combinatie bestaat al.",module,Magento_CustomerFinance
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again.",module,Magento_Quote
"A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.","Een gedeelde catalogus is gekoppeld aan deze klantengroep. U moet de gedeelde catalogus verwijderen voordat u deze klantgroep kunt verwijderen.",module,Magento_SharedCatalog
"A shipment cannot be created when an order has a status of %1","Er kan geen verzending worden aangemaakt als order de status %1 heeft",module,Magento_Sales
"A shipping selection is not applicable.","Een verzendselectie is niet toepasbaar.",module,Magento_Multishipping
"A successful payment transaction has already been completed. Please, check if the order has been placed.","A successful payment transaction has already been completed. Please, check if the order has been placed.",module,Magento_Paypal
"A token with consumer ID %1 does not exist","Een token met klant ID %1 bestaat niet",module,Magento_Integration
"A token with consumer ID 0 does not exist","Een token met consument ID 0 bestaat niet",module,Magento_Integration
"A total of %1 record(s) have been deleted.","Totaal zijn %1 record(s) verwijderd.",module,Magento_Review
"A total of %1 record(s) have been disabled.","Totaal zijn %1 record(s) uitgeschakeld.",module,Magento_Cms
"A total of %1 record(s) have been enabled.","Totaal zijn %1 record(s) ingeschakeld.",module,Magento_Cms
"A total of %1 record(s) have been marked as Read.","%1 rij(en) is/zijn gemarkeerd als gelezen.",module,Magento_AdminNotification
"A total of %1 record(s) have been updated.","Totaal zijn %1 record(s) bijgewerkt.",module,Magento_Review
"A total of %1 record(s) haven't been deleted.","A total of %1 record(s) haven't been deleted.",module,Magento_UrlRewrite
"A total of %1 record(s) haven't been deleted. Please see server logs for more details.","A total of %1 record(s) haven't been deleted. Please see server logs for more details.",module,Magento_Catalog
"A total of %1 record(s) were deleted.","%1 record(s) zijn verwijderd.",module,Magento_Customer
"A total of %1 record(s) were updated.","Totaal zijn %1 record(s) geupdatet.",module,Magento_Newsletter
"A total of %1 synonym group(s) have been deleted.","In totaal zijn %1 synoniem-groep(en) verwijderd.",module,Magento_Search
"A user or a team cannot be moved under its child user or team.","Een gebruiker of een team kan niet worden verplaatst onder zijn onderliggende gebruiker of team.",module,Magento_Company
"A user or a team cannot be moved under itself.","Een gebruiker of een team kan niet onder zichzelf worden verplaatst.",module,Magento_Company
"A user with the same user name or email already exists.","Een gebruiker met dezelfde gebruikersnaam of hetzelfde e-mailadres bestaat al.",module,Magento_User
"A user with this email address already exists in the system. Enter a different email address to create this user.","Een gebruiker met dit e-mailadres bestaat al in het systeem. Voer een ander e-mailadres in om deze gebruiker te maken.",module,Magento_Company
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Een gebruiker met dit e-mailadres bestaat al in het systeem. Als u doorgaat, wordt de gebruiker gekoppeld aan uw bedrijf.",module,Magento_Company
"A user with this email address is already a member of your company.","Een gebruiker met dit e-mailadres is al lid van uw bedrijf.",module,Magento_Company
"A valid currency code wasn't entered. Enter a valid %1 currency code and try again.","A valid currency code wasn't entered. Enter a valid %1 currency code and try again.",module,Magento_GiftWrapping
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again.",module,Magento_Invitation
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again.",module,Magento_Customer
"A wrong PayPal Express Checkout Token is specified.","Een verkeerde PayPal Express Checkout Token is gespecificeerd.",module,Magento_Paypal
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Borg (Vasthouden voor geschillenbeslechting of ander onderzoek)",module,Magento_Paypal
"ACH Deposit (Reversal)","ACH Borg (omkerend)",module,Magento_Paypal
"ACH Funding for Funds Recovery from Account Balance","ACH Financiering voor fondenherstel van rekeningsaldo",module,Magento_Paypal
"ACH Withdrawal","ACH herroeping",module,Magento_Paypal
ALL,ALLE,module,Magento_Rule
"ALL GROUPS","ALLE GROEPEN",module,Magento_Catalog
AM,AM,module,Magento_Catalog
ANY,IEDERE,module,Magento_Rule
API,API,module,Magento_Integration
"API Authentication Methods","API autorisatiemethodes",module,Magento_Paypal
"API Certificate","API Certificaat",module,Magento_Paypal
"API Key",API-sleutel,module,Magento_Signifyd
"API Login ID","API login-ID",module,Magento_Authorizenet
"API Password","API wachtwoord",module,Magento_Paypal
"API Signature","API Signature",module,Magento_Paypal
"API URL",API-URL,module,Magento_Signifyd
"API Username","API gebruikersnaam",module,Magento_Paypal
"API Uses Proxy","API gebruikt Proxy",module,Magento_Paypal
"API interfaces reflection data","API interfaces reflectie data",module,Magento_Store
"API interfaces reflection data.","API interfaces reflection data.",module,Magento_Store
ASCII,ASCII,module,Magento_ScheduledImportExport
"AVS Response","AVS respons",module,Magento_Authorizenet
"AVS Street Does Not Match","AVS straat komt niet overeen",module,Magento_Paypal
"AVS Street Match","AVS Straat Match",module,Magento_Paypal
"AVS Zip Does Not Match","AVS postcode komt niet overeen",module,Magento_Paypal
"AVS result code","AVS resultaatcode",module,Magento_Cybersource
"AVS zip","AVS postcode",module,Magento_Paypal
"Abandoned Cart","Verlaten winkelwagen",module,Magento_Reports
"Abandoned Carts","Verlaten winkelwagens",module,Magento_Reports
"Abandoned carts","Verlaten winkelwagens",module,Magento_Reports
"Ability for buyer to purchase without PayPal account.","Mogelijkheid voor de koper om te kopen zonder PayPal-account.",module,Magento_Paypal
"About Us","Over ons",theme,frontend/Magento/luma
"About Your Invoice","Over je factuur",module,Magento_Sales
"About Your Order","Over je bestelling",module,Magento_Sales
"About Your Refund","Over je restitutie",module,Magento_Sales
"About Your Shipment","Over je verzending",module,Magento_Shipping
"About the calendar","Over de kalender",module,Magento_Theme
"Accept Payment","Accepteer betaling",module,Magento_Sales
"Accept Rate","Tarief accepteren",module,Magento_Invitation
"Accept credit card and PayPal payments securely.","Accept credit card and PayPal payments securely.",module,Magento_Paypal
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Accepteren van krediet-/ debetkaarten en PayPal in uw winkel Magento. <br/> Geen setup of maandelijkse kosten en uw klanten verlaten nooit uw winkel om de aankoop te voltooien.",module,Magento_Braintree
"Accept or Deny Payment","Betaling accepteren of weigeren",module,Magento_Sales
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accepteer betalingen d.m.v. een PCI-conforme checkout die klanten op je site houdt.",module,Magento_Paypal
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accepteer betalingen met een PCI-compliant checkout welke bezoekers op uw site houdt. (<u>Inclusief Express Checkout</u>)",module,Magento_Paypal
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accepteer betalingen met een PCI-conforme checkout die klanten op jouw site houdt.",module,Magento_Paypal
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accepteer betalingen met een PCI-compliant afrekenproces dat klanten op uw website houdt. (<u>Inclusief Express Checkout</u>)",module,Magento_Paypal
"Accept payments with a completely customizable checkout page.","Betalingen accepteren met een volledig aanpasbare afrekenpagina.",module,Magento_Paypal
"Acceptance Mark","Acceptatie Mark",module,Magento_Paypal
"Acceptance Mark Image","Acceptatie Mark Image",module,Magento_Paypal
Accepted,Geaccepteerd,module,Magento_Invitation
"Accepted Currency","Geaccepteerde munteenheid",module,Magento_Authorizenet
"Accepted and Purchased","Geaccepteerd en gekocht",module,Magento_Invitation
"Access Denied.","Toegang geweigerd.",module,Magento_Backend
"Access ID",Toegangs-ID,module,Magento_Dhl
"Access Key",Toegangstoets,module,Magento_Cybersource
"Access License Number","Licentienummer toegang",module,Magento_Ups
"Access List value ""%1"" is not valid. Please use only IP addresses and host names.","Access List value ""%1"" is not valid. Please use only IP addresses and host names.",module,Magento_PageCache
"Access Restriction",Toegangsrestrictie,module,Magento_WebsiteRestriction
"Access Token",Toegangstoken,module,Magento_Integration
"Access Token Expiration","Levensduur toegangstoken",module,Magento_Integration
"Access Token Secret","Toegang token secret",module,Magento_Integration
"Access denied","Toegang geweigerd",module,Magento_Backend
"Access list",Toegangslijst,module,Magento_PageCache
"Access token has been revoked","Toegangstoken is ingetrokken",module,Magento_Integration
Account,Account,module,Magento_Theme
"Account &amp; Shipping Information","Account- &amp; verzendinformatie",module,Magento_Rma
"Account Activity",Accountactiviteit,module,Magento_Security
"Account Created in","Account aangemaakt in",module,Magento_Customer
"Account Created in:","Account aangemaakt in:",module,Magento_Customer
"Account Created on (%1):","Account aangemaakt op (%1):",module,Magento_Customer
"Account Created:","Account aangemaakt:",module,Magento_Customer
"Account Dashboard","Account Dashboard",theme,frontend/Magento/blank
"Account ID",Account-ID,module,Magento_Fedex
"Account Information",Accountinformatie,theme,frontend/Magento/blank
"Account Information (View)","Accountgegevens (Bekijk)",module,Magento_Company
"Account Information Options","Opties Accountgegevens",module,Magento_Customer
"Account Lock","Account gelocked",module,Magento_Customer
"Account Lock:","Account geblokkeerd:",module,Magento_Customer
"Account Number",Accountnummer,module,Magento_GoogleAnalytics
"Account Setting","Account Setting",module,Magento_Backend
"Account Sharing Options","Opties voor delen account",module,Magento_Customer
"Account Status",Accountstatus,module,Magento_User
"Account already active","Account is al actief",module,Magento_Customer
"Account type","Account type",module,Magento_GoogleTagManager
"Account will be unlocked after provided time.","Account will be unlocked after provided time.",module,Magento_Customer
"Account-to-Account Payment, initiated by PayPal","Account-naar-account betaling, geinitieerd door PayPal",module,Magento_Paypal
Action,Actie,module,Magento_Sitemap
"Action ""%1"" is not supported.","Action ""%1"" is not supported.",module,Magento_Sales
"Action Details - #","Actie Details - #",module,Magento_AsynchronousOperations
"Action Group","Actie Groep",module,Magento_Logging
"Action Log","Actie logboek",module,Magento_Logging
"Action Logs","Actie Logs",module,Magento_Logging
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again.",module,Magento_Staging
Actions,Acties,module,Magento_Paypal
"Actions for Acquiring Reward Points by Customers","Acties waarbij klanten spaarpunten kunnen sparen",module,Magento_Reward
Activate,Activeren,module,Magento_Integration
Active,Actief,module,Magento_Review
"Active filters\\:","Active filters\\:",module,Magento_Ui
"Actual Children Count","Feitelijk aantal Children",module,Magento_Support
"Actual Level","Werkelijk niveau",module,Magento_Support
"Actual Price","Werkelijke prijs",module,Magento_Msrp
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter moet een voorbeeld zijn van  \Magento\ImportExport\Model\Import\AbstractSource",module,Magento_ImportExport
Add,Toevoegen,module,Magento_Shipping
"Add All To Gift Registry","Voeg allemaal toe aan verlanglijst",module,Magento_GiftRegistry
"Add All to Cart","Alles aan winkelwagen toevoegen",module,Magento_Wishlist
"Add Amount","Bedrag toevoegen",module,Magento_GiftCard
"Add Attribute","Attribuut toevoegen",module,Magento_Catalog
"Add Attribute Set","Attributenset toevoegen",module,Magento_Catalog
"Add Block Class Type to Hints","Voeg block-class type naar hints in",module,Magento_Backend
"Add Block Names to Hints","Blocknamen aan hints toevoegen",module,Magento_Backend
"Add CMS Block","CMS blok toevoegen",module,Magento_Catalog
"Add Cart Price Rules","Prijsregels voor winkelwagen toevoegen",module,Magento_Banner
"Add Catalog Event","voeg catalogus gebeurtenis toe",module,Magento_CatalogEvent
"Add Condition","Voorwaarde toevoegen",module,Magento_VisualMerchandiser
"Add Credit Card","Creditcard toevoegen",module,Magento_Braintree
"Add Cross-Sell Products","Voeg cross-sell-producten toe",module,Magento_Catalog
"Add Date","Voeg datum toe",module,Magento_Wishlist
"Add Design Change","Designwijziging toevoegen",module,Magento_Backend
"Add Details","Voeg details toe",module,Magento_Rma
"Add Dynamic Block","Dynamisch blok toevoegen",module,Magento_Banner
"Add Event","Gebeurtenis toevoegen",module,Magento_CatalogEvent
"Add Gift Card","Cadeaubon toevoegen",module,Magento_GiftCardAccount
"Add Gift Card Account","Cadeaubon Account toevoegen",module,Magento_GiftCardAccount
"Add Gift Options","Voeg cadeau-opties toe",module,Magento_GiftMessage
"Add Gift Options for Individual Items","Voeg cadeau-opties toe aan individuele items",module,Magento_GiftMessage
"Add Gift Options for the Entire Order","Cadeau-opties toevoegen aan de volledige bestelling",module,Magento_GiftMessage
"Add Gift Registry Type","Voeg verlanglijst-type toe",module,Magento_GiftRegistry
"Add Gift Wrapping","Cadeaupapier toevoegen",module,Magento_GiftWrapping
"Add Group","Groep toevoegen",module,Magento_Catalog
"Add Images into Sitefolder","Voeg afbeeldingen aan sitefolder toe",module,Magento_Sitefolder
"Add Images into Sitemap","Afbeeldingen toevoegen aan sitemap",module,Magento_Sitemap
"Add Invitations","Voeg uitnodigingen toe",module,Magento_Invitation
"Add Invitee","Genodigde toevoegen",module,Magento_SendFriend
"Add Item To Return","Voeg product toe aan de retour aanvraag",module,Magento_Rma
"Add Layout Update","Layout-update toevoegen",module,Magento_Widget
"Add Link","Link toevoegen",module,Magento_Downloadable
"Add Locale","Voeg plaats toe",module,Magento_Wishlist
"Add Minimum Qty","Minimale aantal toevoegen",module,Magento_CatalogInventory
"Add New","Nieuwe toevoegen",module,Magento_Catalog
"Add New %1","Voeg nieuw %1 toe",module,Magento_Ui
"Add New Address","Nieuw adres toevoegen",module,Magento_Sales
"Add New Attribute","Nieuw attribuut toevoegen",module,Magento_Catalog
"Add New Attribute Set","Nieuwe attributenset toevoegen",module,Magento_Catalog
"Add New Block","Nieuw blok toevoegen",module,Magento_Cms
"Add New Class","Nieuwe klasse toevoegen",module,Magento_Tax
"Add New Company","Nieuw bedrijf toevoegen",module,Magento_Company
"Add New Condition","Nieuwe voorwaarde toevoegen",module,Magento_CheckoutAgreements
"Add New Customer","Nieuwe klant toevoegen",module,Magento_Customer
"Add New Customer Group","Nieuwe klantgroep toevoegen",module,Magento_Customer
"Add New Group","Nieuwe groep toevoegen",module,Magento_Catalog
"Add New Image","Nieuwe afbeelding toevoegen",module,Magento_Backend
"Add New Images","Nieuwe afbeeldingen toevoegen",module,Magento_Catalog
"Add New Integration","Nieuwe integratie toevoegen",module,Magento_Integration
"Add New Link","Nieuwe link toevoegen",module,Magento_Downloadable
"Add New Option","Nieuwe optie toevoegen",module,Magento_Catalog
"Add New Page","Nieuwe pagina toevoegen",module,Magento_Cms
"Add New Rate","Nieuwe Ratio toevoegen",module,Magento_Reward
"Add New Rating","Nieuwe rating toevoegen",module,Magento_Review
"Add New Role","Nieuwe rol toevoegen",module,Magento_User
"Add New Row","Nieuwe rij toevoegen",module,Magento_Catalog
"Add New Rule","Nieuwe regel toevoegen",module,Magento_SalesRule
"Add New Search Term","Nieuwe zoekterm toevoegen",module,Magento_Search
"Add New Tax Class","Nieuwe BTW klasse toevoegen",module,Magento_Tax
"Add New Tax Rate","Nieuw BTW tarief toevoegen",module,Magento_Tax
"Add New Tax Rule","Nieuwe BTW regel toevoegen",module,Magento_Tax
"Add New Template","Nieuw template toevoegen",module,Magento_Newsletter
"Add New URL Rewrite","Nieuwe URL-rewrite toevoegen",module,Magento_UrlRewrite
"Add New User","Nieuwe gebruiker toevoegen",module,Magento_User
"Add New Variable","Nieuwe variabele toevoegen",module,Magento_Variable
"Add Node...","Schrijf bericht...",module,Magento_VersionsCms
"Add Option","Optie toevoegen",module,Magento_Bundle
"Add Package","Pakket toevoegen",module,Magento_Shipping
"Add PayPal as an additional payment method to your checkout page.","Voeg PayPal toe als additionele betaalmethode aan je afrekenpagina.",module,Magento_Paypal
"Add Price","Prijs toevoegen",module,Magento_Catalog
"Add Printed Card","Geprint Kaartje Toevoegen",module,Magento_GiftWrapping
"Add Product","Product toevoegen",module,Magento_Catalog
"Add Product By SKU","Product toevoegen op art.nr.",module,Magento_NegotiableQuote
